Step;ImpulseLeftFoot(FX);ImpulseLeftFoot(FY);ImpulseLeftFoot(FZ);ImpulseRightFoot(FX);ImpulseRightFoot(FY);ImpulseRightFoot(FZ);LoadingRateLeftFoot(FX);LoadingRateLeftFoot(FY);LoadingRateLeftFoot(FZ);LoadingRateRightFoot(FX);LoadingRateRightFoot(FY);LoadingRateRightFoot(FZ);ImpactPeakForceLeftFoot(FX);ImpactPeakForceLeftFoot(FY);ImpactPeakForceLeftFoot(FZ);ImpactPeakForceRightFoot(FX);ImpactPeakForceRightFoot(FY);ImpactPeakForceRightFoot(FZ);TimeToImpactPeakLeftFoot(FX);TimeToImpactPeakLeftFoot(FY);TimeToImpactPeakLeftFoot(FZ);TimeToImpactPeakRightFoot(FX);TimeToImpactPeakRightFoot(FY);TimeToImpactPeakRightFoot(FZ);ActivePeakForceLeftFoot(FX);ActivePeakForceLeftFoot(FY);ActivePeakForceLeftFoot(FZ);ActivePeakForceRightFoot(FX);ActivePeakForceRightFoot(FY);ActivePeakForceRightFoot(FZ);TimeToActivePeakLeftFoot(FX);TimeToActivePeakLeftFoot(FY);TimeToActivePeakLeftFoot(FZ);TimeToActivePeakRightFoot(FX);TimeToActivePeakRightFoot(FY);TimeToActivePeakRightFoot(FZ);PushOffRateLeftFoot(FX);PushOffRateLeftFoot(FY);PushOffRateLeftFoot(FZ);PushOffRateRightFoot(FX);PushOffRateRightFoot(FY);PushOffRateRightFoot(FZ);BrakingImpulseLeftFoot;BrakingImpulseRightFoot;BrakingPeakForceLeftFoot;BrakingPeakForceRightFoot;TimeToBrakingPeakLeftFoot;TimeToBrakingPeakRightFoot;TimeToBPTransitionLeftFoot;TimeToBPTransitionRightFoot;PropulsiveImpulseLeftFoot;PropulsiveImpulseRightFoot;PropulsivePeakForceLeftFoot;PropulsivePeakForceRightFoot;TimeToPropulsivePeakLeftFoot;TimeToPropulsivePeakRightFoot;LateralStrikeImpulseLeftFoot;LateralStrikeImpulseRightFoot;LateralStrikePeakForceLeftFoot;LateralStrikePeakForceRightFoot;LateralPushImpulseLeftFoot;LateralPushImpulseRightFoot;LateralPushPeakForceLeftFoot;LateralPushPeakForceRightFoot;ContactDurationLeftFoot;ContactDurationRightFoot;StepDurationLeftFoot;StepDurationRightFoot;DoubleSupportDurationLeftFoot;DoubleSupportDurationRightFoot;SingleSupportDurationLeftFoot;SingleSupportDurationRightFoot
1;-46.502689464625;-43.37085611874997;325.92158275625013;26.056074921250016;0.12564392837500016;195.69236978124994;-13.505677500000001;15.182241666666668;-186.12172499999986;-32.13986931818182;-2.220391483516484;-220.2195;0.9003785;-2.27733625;12.408115;11.78461875;3.36759375;102.7691;0.06;0.08;0.02;0.01;0.01;0.02;0.9003785;-1.024375875;96.851625;17.9122375;3.36759375;113.6487;0.06;0.23;1.01;1.43;0.01;1.35;0;-1380;17.928994082840237;0;-14.99999999999999;-87.0967741935484;0.104329259375;3.058289416375001;0;3.36759375;0.08;0.01;0.06;1.24;-43.470912371874974;-2.857862488187501;-2.27733625;-5.53697875;0.08;1.66;-46.5411878225;26.056074921250016;-0.345311;11.78461875;0.029208030750000002;0;0.9003785;0;4.16;2.11;3.27;1.37;0.02;0.02;3.25;1.35
2;-51.52475610500003;-40.50576820037501;312.8593325874999;47.16608683121248;-1.7293808728874995;363.5188463062502;-12.274031250000004;-50.30467499999997;-190.1611249999984;-18.871010000000012;2.5492674107142865;-156.37498124999988;1.6365375000000002;-1.6768225;9.50805625;4.7177525;2.37931625;10.42499875;0.02;0.09;0.02;0.12;0.2;0.05;1.6365375000000002;0.19762;101.6176625;16.5057875;2.37931625;119.60364999999999;0.02;0.39;1.19;0.84;0.2;0.76;-20.000000000000004;0;99.16666666666667;0;0;-182.4;0.29747544875;3.258541631749999;0;2.37931625;0.09;0.2;0.05;0.02;-40.592661018875;-4.610792504699999;-1.6768225;-0.044587975;0.09;0.25;-51.62294174062503;47.17426296904373;-4.68222;4.7177525;0.09744014812500001;-0.005836660625;1.6365375000000002;0;4.09;4.04;3.33;3.23;0.02;0.05;3.31;3.18
3;-63.262583033749976;-34.46887168125003;304.0090787437496;65.70526817813749;-1.666913750499999;368.7043483437503;-37.40323500000001;2.024060357142858;-1.96318984962406;-1.3826798000000002;5.4990203125;-97.67641071428564;3.11693625;-0.47228075;13.0552125;8.64174875;-4.39921625;22.7911625;0.02;0.01;0.02;0.11;0.09;0.1;3.11693625;7.8652662499999995;99.3817375;24.5457375;3.95169375;122.18372499999998;0.02;0.22;1.14;0.65;0.2;0.81;-60.00000000000002;-146.66666666666669;-48.51063829787234;-13.13131313131313;0;242.99999999999997;1.034438175;3.8794841625624996;7.8652662499999995;3.95169375;0.01;0.09;0.35;0.03;-35.79370704375002;-5.503202884562499;-0.47228075;-4.39921625;0.01;0.09;-63.374256080624974;65.75006594687498;-6.1874175;8.64174875;0.111427028125;-0.04985280905625;3.11693625;0;4;3.99;3.2;3.26;0.02;0.1;3.18;3.1599999999999997
4;-46.10038691374997;-29.64561392025;302.4189107625;53.571792749375014;-8.580701544250003;363.05892316250026;-0.06883951086956522;-29.386574999999997;-1.450515617433414;-21.644650000000013;17.085150000000006;-41.80464095744681;-0.47499262499999995;1.9591050000000003;9.9843825;5.4111625;1.4237625;130.987875;0.02;0.2;0.06;0.13;0.19;0.71;-0.40502875000000005;1.9591050000000003;100.5917875;20.2452875;1.4237625;130.987875;0.04;0.2;1.17;0.71;0.19;0.71;0;0;-22.86644951140065;-15.955056179775282;0;11.932773109243698;0.158928429375;0.06894516031249999;1.9591050000000003;1.4237625;0.2;0.19;0.02;0.25;-29.816330097625002;-8.672195425875001;-0.033334475;-0.035490775;0.32;0.15;-46.10038691374997;53.571792749375014;-0.47499262499999995;5.4111625;0;0;0;0;4.15;3.97;3.39;3.01;0.06;0.71;3.33;2.3
5;-55.989765288187485;-38.148369257500036;293.53641486874994;46.34339239118748;-4.162029807187498;331.90828473749997;-40.7547;-0.36081397058823533;16.253488207547175;-20.78842031249998;1.5311701530612245;-145.05062999999922;-0.679245;-2.0446125;86.1434875;5.54357875;2.50091125;12.0875525;0.04;0.21;0.43;0.13;0.21;0.05;-0.679245;-0.38265;101.553425;20.354075;2.50091125;120.73726250000001;0.04;0.4;0.82;0.72;0.21;0.63;0;0;-117.14285714285717;-23.47826086956522;0;-189.00000000000028;0.011572446250000002;2.4120014872624984;0;2.50091125;0.21;0.21;0.03;0.03;-38.161725495000034;-6.311495695925;-2.0446125;-0.00915113125;0.21;0.15;-55.989765288187485;46.34339239118748;-0.679245;5.54357875;0;0;0;0;3.87;3.68;3.03;2.89;0.43;0.05;2.5999999999999996;2.8400000000000003
6;-55.747354126187524;-30.782955009375005;267.5385866687501;67.54401841262501;-1.018382068921501;355.70390753124974;0;-7.464954166666668;-203.91357500000137;44.9271975;0.5672490740740741;-296.5715624999998;-0.05218466249999999;2.23948625;10.19567875;7.48786625;-3.063145;9.88571875;0.03;0.2;0.07;0.1;0.06;0.02;-0.05218466249999999;2.23948625;94.860225;25.065387500000003;3.3547137500000006;130.312125;0.03;0.2;2.06;0.78;0.2;0.72;0;0;78.22784810126582;-17.397769516728623;0;308.5714285714286;0.412947660625;2.8606027062267505;2.23948625;1.54153625;0.2;0.06;0.02;0.27;-31.243195138125003;-4.06206998925;-0.38523275;-3.063145;0.12;0.06;-55.744109126750025;67.6048922499375;-0.05218466249999999;7.48786625;0;-0.05558047375;0;0;3.82;3.81;3.06;3.16;0.07;0.02;2.99;3.14
7;-48.96637604687497;-31.857014655499988;285.71793962500027;52.357955622125026;-5.549350477927501;367.93045462500027;-5.482960500000001;17.529495000000004;-163.29266249999986;-27.665935227272698;-0.9026623469387756;105.80626500000002;0.456913375;1.46079125;10.8861775;10.14417625;3.68587125;8.81718875;0.04;0.2;0.02;0.33;0.01;0.02;0.456913375;3.7837512499999995;101.42718749999999;21.36285;3.68587125;136.40025;0.04;0.33;1.13;0.72;0.01;0.61;-60.00000000000001;0;-23.21917808219178;-77.14285714285714;0.48387096774193555;10.166666666666666;0.46982434812499996;1.73964669410625;1.46079125;3.68587125;0.2;0.01;0.03;0.05;-32.33522996412498;-7.0470258961575;-0.07279705;-0.318873625;0.16;0.14;-49.00225523999997;52.36421224293752;-3.0531725;10.14417625;0.035853905625;-0.005008569375000001;0.456913375;0;3.93;3.97;2.92;3.01;0.02;0.02;2.9;2.9899999999999998
8;-44.05957660362497;-27.06974279062501;266.1159155000002;46.30478158437504;-5.064050310187501;346.8736973687502;-0.4159559264305177;6.525492187499999;23.32034652509653;-0.5072130405405406;-0.5905391379310345;99.32099999999998;-2.54426375;1.74013125;100.6661625;3.1278137499999996;0.85628175;140.70475;0.26;0.2;1.18;0.1;0.19;0.73;-2.54426375;1.74013125;100.8674125;19.4095875;1.8130312500000003;140.70475;0.26;0.2;1.2;0.86;2.18;0.73;0;0;-32.87671232876713;368.5714285714285;0;12.80701754385965;0.1813705203125;1.4859633920624997;1.74013125;0.85628175;0.2;0.19;0.04;0.23;-27.26510791625001;-6.6203939737500015;-0.277482375;-0.21681775;0.11;0.22;-44.06929064087497;46.319315408750036;-2.54426375;3.1278137499999996;0.0091816825;-0.0174447825;0;0;3.81;3.84;2.74;2.92;1.18;0.73;1.5600000000000003;2.19
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;=AVERAGE(B2:B9);=AVERAGE(C2:C9);=AVERAGE(D2:D9);=AVERAGE(E2:E9);=AVERAGE(F2:F9);=AVERAGE(G2:G9);=AVERAGE(H2:H9);=AVERAGE(I2:I9);=AVERAGE(J2:J9);=AVERAGE(K2:K9);=AVERAGE(L2:L9);=AVERAGE(M2:M9);=AVERAGE(N2:N9);=AVERAGE(O2:O9);=AVERAGE(P2:P9);=AVERAGE(Q2:Q9);=AVERAGE(R2:R9);=AVERAGE(S2:S9);=AVERAGE(T2:T9);=AVERAGE(U2:U9);=AVERAGE(V2:V9);=AVERAGE(W2:W9);=AVERAGE(X2:X9);=AVERAGE(Y2:Y9);=AVERAGE(Z2:Z9);=AVERAGE(AA2:AA9);=AVERAGE(AB2:AB9);=AVERAGE(AC2:AC9);=AVERAGE(AD2:AD9);=AVERAGE(AE2:AE9);=AVERAGE(AF2:AF9);=AVERAGE(AG2:AG9);=AVERAGE(AH2:AH9);=AVERAGE(AI2:AI9);=AVERAGE(AJ2:AJ9);=AVERAGE(AK2:AK9);=AVERAGE(AL2:AL9);=AVERAGE(AM2:AM9);=AVERAGE(AN2:AN9);=AVERAGE(AO2:AO9);=AVERAGE(AP2:AP9);=AVERAGE(AQ2:AQ9);=AVERAGE(AR2:AR9);=AVERAGE(AS2:AS9);=AVERAGE(AT2:AT9);=AVERAGE(AU2:AU9);=AVERAGE(AV2:AV9);=AVERAGE(AW2:AW9);=AVERAGE(AX2:AX9);=AVERAGE(AY2:AY9);=AVERAGE(AZ2:AZ9);=AVERAGE(BA2:BA9);=AVERAGE(BB2:BB9);=AVERAGE(BC2:BC9);=AVERAGE(BD2:BD9);=AVERAGE(BE2:BE9);=AVERAGE(BF2:BF9);=AVERAGE(BG2:BG9);=AVERAGE(BH2:BH9);=AVERAGE(BI2:BI9);=AVERAGE(BJ2:BJ9);=AVERAGE(BK2:BK9);=AVERAGE(BL2:BL9);=AVERAGE(BM2:BM9);=AVERAGE(BN2:BN9);=AVERAGE(BO2:BO9);=AVERAGE(BP2:BP9);=AVERAGE(BQ2:BQ9);=AVERAGE(BR2:BR9);=AVERAGE(BS2:BS9);=AVERAGE(BT2:BT9);=AVERAGE(BU2:BU9)
