Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
131.877,87.53997,700.2783,7.189716,79.13503,8.467493,0.09749708,0.001977205,0.0397644,0.005886078,0.008789063,0.08486672,113.005101680756,10.2669410407543,113.470538397472,221.028402447701,148.023784160614,266.016156212007,0
131.4118,89.42951,698.9705,6.825462,79.18736,8.498433,0.4175684,0.1970594,0.8905334,0.07076645,0.07952118,0.07517639,113.291420042515,9.76502243429422,113.71148366982,89.2961174249649,79.4652327895164,119.53459670516,0
0
79.14127,8.442663,0.07148948,0.01458573,0.5788574,0.1163673,0.07998657,0.01752435,113.381624221802,9.23946406692266,113.757463084484,-138.180091977119,201.029360294342,243.939626791462,0
129.5274,90.01361,695.7402,6.494686,78.9652,8.375542,0.0691494,0.1904857,0.567627,0.1334877,0.08125305,0.004925653,113.498121500015,9.3349302187562,113.881361540075,-143.145158886909,235.168009996414,275.308062792269,0
128.9232,89.38374,690.5429,6.445686,78.31028,8.230722,0.2391725,0.3743231,1.198517,0.02587891,0.01980591,0.05127589,113.403931260109,9.33422986418009,113.787431082721,16.5253486484289,21.5924419462681,27.190452316118,0
128.1251,88.53657,682.1033,6.752617,77.20464,7.827324,0.2399943,0.3763971,1.193634,0.1488113,0.06597137,0.06149411,113.1861358881,9.89969912916422,113.61824413415,-55.2693493664265,124.670825898647,136.372709182002,0
126.5449,85.57964,671.7267,7.032597,75.95483,7.264184,0.2404341,0.2018073,1.523163,0.07065964,0.1067848,0.03860411,113.074004650116,10.4694319888949,113.557648504117,-70.1072886586189,46.3900752365589,84.0658730015725,0
125.0243,80.30495,662.347,7.462326,75.10155,6.534063,0.100899,0.1859057,0.5744934,0.1096687,0.01111603,0.03841697,113.387018442154,11.2664895132184,113.945380499399,-19.3492695689201,-190.896421670914,191.874537236211,0
123.083,75.00645,657.848,7.583328,74.78902,6.016212,0.09749037,0.007426262,0.07315063,0.0001869202,0.01344299,0.006282538,113.687381148338,11.5274777635932,114.2703083743,183.771386742592,2.55527743138373,183.78915100747,0
122.083,73.51789,654.9529,7.294445,75.10684,5.676323,0.2519835,0.155797,0.5630798,0.01678085,0.06578827,0.08452082,114.675171673298,11.1373579129577,115.214737510362,-116.836488246918,-29.801907017827,120.577438386173,0
