Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
124.0519,107.0618,756.4812,6.974026,99.37895,14.50875,0.1640084,0.03164458,0.1371155,0.2005234,0.07691193,0.1285361,131.370022892952,-9.21903364360332,131.693103449712,-560.928106307983,1462.44156360626,1566.32553047232
122.1972,106.5987,750.9803,7.813057,98.76927,14.70804,0.1579387,0.3922946,1.067413,0.05144119,0.1213417,0.08503613,131.520450115204,-10.403810068965,131.931300541065,-113.678276538849,48.1923818588257,123.471681879166
120.7417,106.5725,746.1184,8.49826,98.44667,14.88508,0.3418514,0.03445458,0.1907349,0.1408005,0.01972198,0.1624574,131.945103406906,-11.3899623975158,132.435801641686,103.399999439716,-738.200008869171,745.406475004462
120.3372,106.3531,745.8071,9.317829,98.46524,15.01487,0.1562689,0.3891518,1.082977,0.04843521,0.03431702,0.1291126,132.025077939034,-12.4936178326607,132.614899959833,-31.6876620054245,44.7241254150867,54.8119997583963
120.329,106.7689,746.1414,10.21414,98.77231,15.38768,0.005209714,0.02737451,0.1749268,0.1396713,0.04999542,0.09523863,132.377460598946,-13.6892767623067,133.083388794021,285.807758569717,-798.456013202667,848.067261411584
119.4633,108.0056,746.1466,11.1169,98.97432,15.8181,0.1686688,0.1400628,0.4519043,0.004020691,0.03462601,0.1060659,132.647275924683,-14.8990796878934,133.481393406666,-76.6224339604378,8.89721792191267,77.1372664331039
119.64,109.2689,748.4252,12.07651,99.38187,16.15078,0.3376116,0.2116644,0.1163025,0.0968895,0.06305313,0.1404474,132.787972688675,-16.1358900368214,133.764766056121,-542.147755622864,833.081841468811,993.956509869508
118.3754,109.854,748.4504,12.52468,99.81402,16.27969,0.0110313,0.2107229,0.4410706,0.1572227,0.0522995,0.1409384,133.360892534256,-16.7341437190771,134.406693373299,-118.574000895023,356.457144021988,375.661402346003
120.0366,110.1194,748.7476,13.56268,99.19852,17.0097,0.1636687,0.2107944,0.442627,0.03520203,0.03544998,0.1066261,132.485941052437,-18.1138161569834,133.718491287925,-80.0899788737297,79.5297846198082,112.8689122729
118.5805,110.0626,747.4918,13.5562,100.1346,16.79878,0.1795593,0.1493247,0.1403503,0.06541824,0.1088676,0.1069968,133.96081328392,-18.1355811655521,135.182834708781,-775.684952735901,466.106772422791,904.954512226602
118.2654,114.0418,753.3201,14.26591,100.4653,17.2179,0.3385414,0.2165346,0.4323425,0.03571701,0.1056366,0.1416175,133.363395929337,-18.9373828470707,134.701224355614,-244.335427880287,82.6127603650093,257.923766823784
118.067,113.6065,757.2392,14.66241,101.2374,17.19773,0.01251134,0.2093627,0.440918,0.1573143,0.1371117,0.1415884,133.692741394043,-19.3629767745733,135.087652918493,-310.968637466431,356.788128614426,473.285603212175
116.8316,112.9387,755.6337,14.76912,101.2786,17.30404,0.1724192,0.01977563,1.147675,0.084198,0.1115074,0.08558688,134.031355381012,-19.5453464984894,135.448974876214,97.1594378352165,-73.3640044927597,121.746595499295
117.4679,112.5337,754.327,14.67424,100.8886,17.47946,0.01117954,0.3844118,0.4501648,0.04864883,0.1354675,0.09740514,133.746534585953,-19.4534175097942,135.153878843938,-300.928741693497,108.068943023682,319.745217358269
117.0347,113.3665,749.769,14.37158,100.0718,17.48276,0.1715087,0.1421528,0.1318054,0.05617905,0.07738876,0.1070259,133.470237255096,-19.1680155694485,134.839597499408,-587.144017219543,-426.227122545242,725.539562635905
116.0204,112.5196,740.3434,13.75807,98.9044,17.15366,0.01327953,0.3847744,0.4386292,0.1730309,0.1371498,0.05119863,133.59260559082,-18.5833629220724,134.878929585158,-312.678277492523,394.480973482132,503.371576129505
115.0373,110.3961,733.2024,12.79733,97.61078,16.90027,0.006289214,0.2034371,0.2012024,0.03862,0.1377831,0.02872843,133.129373192787,-17.4540150910616,134.26865847808,684.798300266266,-191.945999860764,711.190536291165
115.1143,107.6791,725.4043,11.63267,96.39146,16.36516,0.008519739,0.2094545,0.4481506,0.03458786,0.13591,0.0743987,132.879644632339,-16.0361155867577,133.843778192072,-303.268641233444,77.1790966391563,312.935267609159
114.3878,103.6732,719.8968,10.49512,95.33495,15.82697,0.3506822,0.01963544,0.5013733,0.08278656,0.1259537,0.0514594,132.428631186485,-14.578646980226,133.228672986337,251.217365264893,-165.119603276253,300.623764856908
114.6622,101.1628,716.3243,9.374813,94.78426,15.35773,0.1880692,0.3826654,0.4243774,0.1769295,0.1552086,0.04006684,132.320299744606,-13.0873862653971,132.965940765905,-365.732431411743,416.915357112885,554.597715811118
114.688,100.1199,714.3679,8.709583,94.43532,15.09294,0.009369463,0.3810644,0.1191711,0.008441925,0.09460831,0.05152869,132.194235920906,-12.1920136734843,132.755268099336,-793.886065483093,-70.8386674523354,797.040276130792
115.1089,99.92247,714.0434,8.536198,94.50661,14.98502,0.1872225,0.3839045,0.7649231,0.1113281,0.1095543,0.01737735,132.354155182838,-11.9547322392464,132.892956988228,-143.222615122795,145.541593432426,204.193714157567
115.9122,100.9896,714.9958,8.153179,94.34619,15.15035,0.1842493,0.2081256,0.435791,0.1597176,0.06913757,0.06186685,131.953477859497,-11.4031136035919,132.445276695974,-158.648461103439,366.500347852707,399.364293830388
116.9527,101.0203,714.0126,7.964947,94.46118,15.11162,0.003870487,0.1534898,1.148712,0.06938934,0.180397,0.02889816,132.296249270439,-11.1551908776164,132.76571791898,157.042846083641,-60.4062043130398,168.259814054215
118.6037,101.4858,715.2826,7.315842,94.40333,15.09027,0.5218054,0.1885955,1.143097,0.100174,0.1430473,0.004081905,131.980463862419,-10.2279037237167,132.376179337224,125.140160322189,-87.6338183879852,152.773511613505
120.6987,101.1187,716.5592,6.476219,94.11692,14.87567,0.1815797,0.02751803,0.1159363,0.08559799,0.1118279,0.03908658,131.345629692078,-9.03793983161449,131.656214420772,-964.563071727753,738.319277763367,1214.70048788082
121.5859,99.05841,710.3705,5.327869,93.34584,14.42584,0.68394,0.3528309,2.409088,0.05760956,0.07457733,0.005606055,131.40444457531,-7.50012788921595,131.618311691422,30.9566631913185,-23.9134281873703,39.1173496496536
123.5331,96.39182,707.7505,3.912609,92.61018,13.77094,0.0001904666,0.14606,0.1917419,0.007343292,0.05215454,0.02751818,130.851432681084,-5.52823161706328,130.968159410996,272.003829479218,-38.2977873086929,274.686737510389
124.6986,91.6059,707.1007,2.646008,92.25596,12.89793,0.005779266,0.2109773,0.4332886,0.08367157,0.1376228,0.02968843,130.470752716064,-3.74205177649856,130.524404866655,-317.623972892761,-193.108186125755,371.720001755301
125.4167,87.85222,705.8019,1.428532,92.12901,12.26876,0.1806526,0.2052372,0.443512,0.08420181,0.06744766,0.005302861,130.530968308449,-2.02398397959769,130.546659086669,-152.076303958893,-189.852401614189,243.251180109106
125.9022,85.13546,704.1796,0.4456635,91.85593,11.86622,0.164399,0.2147174,0.4289246,0.1594429,0.0376358,0.06114587,130.443900823593,-0.632883224170655,130.44543611507,-87.7445712685585,371.727138757706,381.942633750271
126.3277,84.73494,703.1921,0.3272514,91.66516,11.49424,8.050214,10.82625,33.53149,2.074852,4.353096,1.699034,130.355775356293,0.465379824163392,130.356606073958,129.821121692657,-61.8777088820934,143.813679787553
127.8017,84.1468,701.2214,1.272911,91.33131,11.27007,1.413681,10.23424,52.40782,2.034653,7.564415,1.983954,130.246043205261,1.81527703534812,130.25869261336,144.337520003319,-38.8234555721283,149.467656646077
129.5175,82.10623,699.901,2.114822,91.01467,10.95355,14.7398,18.82681,57.45062,2.371414,7.546539,2.984566,130.039349198341,3.02160228602588,130.074449529118,131.356969475746,-41.2774309515953,137.689795322006
130.8241,80.04664,695.9874,3.078949,90.32114,10.66119,27.84793,12.62664,103.4781,3.094807,13.06361,2.082756,129.774108529091,4.42385766655207,129.84948887529,126.245155930519,-29.9078319221735,129.73942271417
130.8637,78.82111,683.2781,4.273972,88.53183,10.2748,32.61829,2.876551,146.0468,3.765724,18.52323,0.1117629,129.569247364998,6.2550981529057,129.720145373163,126.83080136776,-25.7843751460314,129.425214611603
129.3058,75.04156,668.328,5.475349,86.40997,9.399276,38.6167,8.73396,194.0633,4.308907,24.31379,1.649503,129.292756319046,8.19260813295841,129.552057739723,125.287890434265,-22.2036093473434,127.240149943003
126.9363,70.40411,648.8251,7.352901,83.96568,8.368746,50.71825,14.2227,265.6135,4.408394,33.25137,2.175984,129.411891102791,11.3326404243708,129.907144906617,125.187054276466,-16.5970269590616,126.282460628144
125.4758,62.64942,634.2006,9.196144,81.63371,7.066876,67.22928,12.1681,346.0205,5.123978,43.21311,2.499153,128.719061613083,14.5003702491522,129.533229558732,124.885976314545,-14.8083064705133,125.760856471963
120.0266,56.04199,611.793,11.23893,78.49189,6.080696,85.76173,3.216691,427.124,5.643852,53.38751,1.538565,128.298118710518,18.3704849332571,129.606643276266,124.993018805981,-13.2136167958379,125.689515947272
114.2994,52.39463,580.2404,13.22742,74.10829,5.393697,96.6883,3.56487,499.2495,5.89801,62.74837,0.1582257,127.719983458519,22.7964501827955,129.738476619625,125.685393810272,-11.813753284514,126.23938760906
106.289,48.69425,542.5297,15.51808,68.73177,4.398007,102.1768,3.072875,555.8647,5.932213,70.60715,0.1015264,126.687571406364,28.6031886935234,129.876414919261,127.022206783295,-10.6720449402928,127.469735856421
98.57432,41.65662,504.8356,17.9438,63.46288,2.794386,110.0944,6.447267,605.9181,5.486542,77.56406,0.9120688,125.709995627403,35.5438552796841,130.638312331356,128.010809421539,-9.05492343008518,128.330662614522
88.77321,34.5531,464.2214,20.1752,57.82956,1.814516,118.5209,8.584058,655.0989,3.765747,84.53349,1.246073,124.573245644569,43.460302054882,131.936694611938,129.039272665977,-5.74836460873485,129.167246567539
78.15621,26.80404,421.6628,21.86294,51.8791,1.078137,125.5002,8.113308,714.0476,0.4842072,93.69357,1.350607,123.034574091434,51.8493391573429,133.51352138609,131.214737892151,-0.678116048220545,131.216490127883
66.04711,20.47277,380.4412,22.6706,46.51925,0.4521554,131.0476,0.6530271,784.8243,4.682938,105.4829,0.1096769,122.277118265629,59.5902949571609,136.024618743917,134.403184056282,5.96686126664281,134.53556896911
55.73246,17.53025,343.1214,21.99621,41.98806,0.5545965,142.3421,5.991555,853.5017,10.1562,116.5065,1.670133,122.370861470699,64.1061887145042,138.145688201191,136.504083871841,11.8994452059269,137.021756337815
43.41513,19.76951,301.2634,20.82756,37.22261,1.124757,151.9547,8.403955,905.4681,14.35168,124.9696,2.889821,123.555034399033,69.1340640187263,141.58165606141,138.016566634178,15.8500168472528,138.923704599124
33.7895,23.13169,258.7436,18.62846,32.04282,2.158697,159.7398,8.342093,940.1275,17.35924,130.8584,3.467274,123.84007871151,71.9958245754242,143.247212369275,139.192149043083,18.464770168066,140.411545439082
23.56872,25.66641,213.6489,16.00058,26.81701,2.394416,163.7849,6.735335,956.6068,19.2805,133.7066,3.621807,125.519067049026,74.8919397592545,146.163739804925,139.771789312363,20.1550964266062,141.217495373432
16.92825,26.82983,174.0604,13.34005,21.98079,2.423596,164.2792,3.940263,953.9699,19.77855,133.4903,3.366233,126.282542943954,76.6403526067734,147.719410708553,139.93139564991,20.7328852266073,141.458997657807
4.943554,18.89245,95.86728,8.585167,12.36626,2.713996,158.9962,2.179126,919.1373,19.13554,128.505,2.355163,128.993585705757,89.5526260137558,157.031901151289,139.810487627983,20.8190251141787,141.352057846638
3.580356,9.309329,61.79767,6.08725,8.131592,1.853166,154.5733,3.656477,895.2927,18.77533,125.2342,2.000683,131.584122776985,98.502904176712,164.369107493577,139.880731701851,20.9711622446775,141.444012765963
0.3157401,0.9181088,31.98798,3.49678,4.155365,0.6434257,149.2873,3.006427,871.8607,18.76997,122.1039,2.012092,129.903972148895,109.31546241045,169.779010192872,140.04972577095,21.5286388993263,141.694770479986
0.8070083,0.03236175,7.61908,1.245712,1.009552,0.186578,143.8091,2.889151,849.7117,19.17123,119.2987,2.007574,132.503136992455,163.499057292938,210.449573647752,140.398994088173,22.56203815341,142.200292217023
1.857327,0.4683895,1.818115,0.1524658,0.178894,0.03892337,138.1544,1.54405,829.5487,19.69833,116.9114,2.027175,98.3953252434731,83.8592723011971,129.282704104823,140.93379676342,23.7458348274231,142.920256583188
0.9382832,3.746207,1.42865,0.04868317,0.02688599,0.07611403,132.3135,0.3130035,811.3077,20.66302,114.8484,2.232446,-18.8191570341587,-34.0763442218304,38.9275982691072,141.559600830078,25.4687797278166,143.832469658263
0.4823317,2.285795,0.4616089,0.03557587,0.1252747,0.1056528,127.1573,3.527451,797.9006,21.79417,113.4951,2.582242,-271.387010812759,77.0692825317383,282.118031943798,142.242133617401,27.3143965750933,144.840950135975
0.6487154,1.250559,0.833313,0.1565704,0.1317139,0.1190237,122.1488,6.361151,787.9802,23.01408,112.6252,3.027342,158.060505986214,-187.889114022255,245.530940454937,142.928913235664,29.2064137756824,145.882448719387
0.9967195,2.365653,1.459229,0.3894424,0.05844879,0.1213258,117.8404,10.03835,780.2963,24.21436,112.1181,3.443137,40.0545857846737,266.882419586182,269.871442962305,143.686637282372,31.0322586447001,146.99949255051
1.306096,2.497599,0.180481,0.1936646,0.08366394,0.08090346,114.7197,12.26599,775.391,25.35921,112.014,3.798204,463.561028242111,-1073.04704189301,1168.89639447652,144.461363554001,32.7050685882568,148.117207208493
0.6303835,0.2454447,0.4728394,0.2286987,0.03897095,0.01169309,113.3334,14.25924,772.3609,26.63342,111.8129,4.290104,82.4190005660057,483.671098947525,490.64307150046,144.767731428146,34.4831310212612,148.817950489453
0.05458025,1.675967,0.1298218,0.07102203,0.05225372,0.02104339,112.2941,16.24466,769.6101,27.73256,111.8521,4.756085,-402.50352025032,-547.073364257813,679.189479964363,145.336031913757,36.0345579683781,149.736607215514
0.1564516,1.681101,0.132019,0.06980133,0.03714752,0.117185,112.4555,17.65764,769.7002,28.93346,112.3007,5.091482,-281.380027532578,-528.721690177917,598.933506792555,145.901814103127,37.5905521214008,150.666482561235
0.2186542,0.02358186,0.793335,0.05883026,0.06136322,0.09560665,111.8928,18.53209,773.3093,30.23571,113.1561,5.445086,-77.3484408855438,74.1556361317635,107.15334655311,146.32710814476,39.0991158783436,151.460765350227
0.451349,1.689653,0.1725464,0.2530365,0.05799866,0.001841709,110.6541,20.83203,776.3463,31.53464,114.123,5.726953,336.133718490601,-1466.48395061493,1504.51356062931,147.000178694725,40.6192913651466,152.508948482664
