Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
35.957619,136.652206,602.480164,271875.0,259570.5625,47952.97656,27.590760999999997,45.864666,288.6108700000001,253801.0781,138820.3281,12741.9209,430.83669473307344,451.25967001960925,623.9034759598043,480.9948014085538,879.3884932331202,1002.3373289531185
33.777107,127.722328,582.576233,261154.7969,253777.2344,41660.48438,23.933704000000002,47.892902,321.3992,283027.3438,153845.3438,4417.13916,435.61206246462166,448.27574848903936,625.0672089048426,478.6736986277502,880.6099822277092,1002.2985835353937
31.141699,121.311127,561.958191,249820.6875,247050.6875,37549.79297,18.943123,51.017437,359.155792,317133.4688,171413.4375,4599.4848630000015,439.62467574389353,444.5538680652489,625.2183595630396,477.267640723444,882.9969496914027,1003.7270615292008
27.869478000000004,118.154327,539.865601,237092.9219,238813.0156,36298.98438,11.725143,57.576770999999994,406.27383399999997,360166.3438,193636.0313,15625.48926,442.3564219643623,439.1702702688034,623.3375733429574,476.6145764139957,886.5112976977985,1006.5106732648824
23.888157,116.991882,515.8078,222441.0938,228994.1719,37144.53516,1.8601849999999998,68.86792,465.513611,414335.375,221524.5,30077.51367,443.9525185543917,431.248022616176,618.925436333933,475.87115556971327,890.0607097393764,1009.2875822702946
18.945839000000007,116.377991,490.32693499999993,206615.2969,217939.0313,39312.49609,9.890667,84.772247,535.9832759999998,478556.0625,254066.625,47964.05859,444.47697187999677,421.3827186548502,612.4729986804023,474.01968750980217,892.8563332636522,1010.8843138539172
12.972612,115.688576,465.134857,191814.3906,206237.0938,42468.18359,21.229951999999997,104.598923,611.066895,546952.25,287751.4063,66989.46875,443.3920414612143,412.3844681027636,605.522461981009,470.90000890982634,895.0775348417459,1011.3904348814316
6.677631,114.344803,441.56518600000004,180067.125,194370.3906,45868.72656,29.79595,125.34903700000001,680.229187,610416.375,317882.8125,83574.8125,440.1850434830249,407.7928485059509,600.0482312270822,467.31721980638855,897.3686908262582,1011.7588404371891
1.453235,111.989166,419.112152,171386.3125,182514.0938,48294.32813,34.884525,141.358887,734.151672,660771.5625,340869.5625,95071.49219,435.47793336233315,408.9270895204203,597.3796071085542,464.3040062435491,900.0477526665636,1012.7507922948967
1.601567,109.251297,395.95651200000003,163849.9375,170679.3906,49021.57422,37.142635,149.46676599999995,768.68573,693740.8125,355478.375,101181.0547,431.05589989640083,413.8079120668686,597.5334107182938,462.44955659577545,902.5025253168158,1014.085992704198
