Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0.1835429,0.05717146,0.4037476,0.09359741,0.05754089,0.020033,0.008396417,0.2284296,0.2820129,0.06014633,0.03217697,0.01902713,142.517000436783,-231.821611523628,272.125623532423,114.097498357296,-213.275074958801,241.877028115684,0
0.2182885,0.6950221,0.8916626,0.1394501,0.02809906,0.008216023,0.1728367,0.2312195,1.245911,0.001300812,0.1096497,0.01403418,-31.5131098031998,156.393319368362,159.536661719252,-88.0076438188553,-1.0440651094541,88.0138366536721,0
0.2321685,0.2719418,1.224854,0.04927826,0.01753998,0.06554604,0.01212311,0.05109382,0.02755737,0.1067543,0.07504272,0.07311288,14.3200615420938,40.2319617569447,42.7045068977691,-2723.14500808716,-3873.89254570007,4735.24679300885,0
0.02166678,0.2695646,0.24823,0.01374817,0.04189301,0.03096372,0.1904348,0.299185,0.3553772,0.01742935,0.03778458,0.02948411,-168.766900897026,-55.3848035633564,177.622474096434,106.322452425957,-49.0446537733078,117.089034301311,0
0.2257185,0.4862126,0.2461548,0.001159668,0.05951691,0.03622591,0.007496476,0.1194451,0.9163513,0.08900833,0.05282593,0.02686337,241.786509752274,4.71113296225667,241.832402857794,-57.6481148600578,-97.1334129571915,112.952224677652,0
0.176623,0.1540596,0.07458496,0.01752472,0.01274872,0.008677006,0.009723246,0.1214061,0.6220703,0.08880234,0.07699203,0.05118287,170.928806066513,-234.963178634644,290.558689523165,123.767413198948,142.752900719643,188.935870691172,0
0.2332186,0.07001376,0.08215332,0.0324173,0.01593781,0.02016425,0.1818463,0.05725384,0.6011047,0.01473999,0.006038666,0.03862157,-194.000735878944,-394.595086574554,439.706229055664,10.0459456443787,-24.5214998722076,26.4995279179175,0
0.03093886,0.1435499,0.401123,0.04384613,0.0446167,0.04810655,0.5056639,0.3101869,0.01431274,0.04457474,0.05681992,0.0372237,-111.229456961155,109.308429062366,155.949750753106,3969.88272666931,3114.33911323547,5045.69885900216,0
0.1838029,0.05944169,0.4016113,0.02931976,0.05781555,0.01955301,0.1808749,0.2279394,0.04446411,0.001644135,0.08023453,0.05349462,143.95897090435,73.0053186416626,161.412396840547,1804.47840690613,-36.9766652584076,1804.85722281961,0
0.176683,0.1524895,0.5758057,0.1060257,0.01197815,0.009187043,0.005136371,0.2331896,0.9205627,0.06106567,0.117672,0.01785713,-20.802415907383,-184.134513139725,185.305853757476,127.826124429703,-66.3351565599442,144.013440631596,0
0.03237676,0.151027,0.07470703,0.01837921,0.002319336,0.03091383,0.1634363,0.04793954,0.01791382,0.104557,0.1097527,0.00870581,-31.0457516461611,-246.017158031464,247.968305920642,6126.70373916626,-5836.66944503784,8461.86793315472,0
0.1758929,0.1520095,0.4005127,0.04496002,0.05601501,0.008337021,0.1841663,0.05327392,0.03561401,0.1074104,0.005367279,0.03885157,139.858275651932,112.256169319153,179.337070396898,-150.706946849823,-3015.95973968506,3019.72279112338,0
0.1805929,0.05505085,0.3961182,0.02843475,0.02996826,0.03688705,0.1842664,0.05783391,0.5993958,0.1360588,0.006023407,0.03787158,-75.6548568606377,71.7835128307343,104.290603991557,10.0491316989064,-226.993277668953,227.215609399522,0
0.02838673,0.05903363,0.07086182,0.08917236,0.001853943,0.002283752,0.009996265,0.04944205,0.03848267,0.01299667,0.09581375,0.003123119,-26.1627901345491,1258.39793682098,1258.66987688708,2489.78996276855,337.72799372673,2512.59114390896,0
0.02545672,0.06020415,0.4038696,0.09443665,0.04247284,0.05962384,0.01699665,0.2981651,0.2875366,0.2266159,0.0522728,0.003143325,105.164729058743,-233.829528093338,256.390070880976,-181.79526925087,-788.128852844238,808.824213663001,0
0.4302482,0.4888326,1.540649,0.1254349,0.0743866,0.05909491,0.008193046,0.05455399,0.6065063,0.01526642,0.1792297,0.0702029,48.2826232910156,81.4168825745583,94.656856487111,-295.511722564697,-25.1710768789053,296.581795268014,0
0.2217785,0.4885535,0.5667114,0.0627594,0.01499939,0.0198741,0.3273911,0.315697,0.9785156,0.1032372,0.08462906,0.002866164,26.4674201607704,110.743135213852,113.862049546634,86.4871814846992,105.503834784031,136.422475110604,0
