Timestamp,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0,4.38118,-4.437664,2.391027,-6.677972,0.975754,-4.792782,3.130807,20.473476,-4.882831,-9.242921,0.389131,12.183836,0,0,,0,0,
0.001,5.449299,-5.81096,-6.153927,-16.199494,4.149594,-6.01349,18.389657,7.961219,-0.610354,-2.651098,2.830547,-8.446129,0,0,,0,0,
0.002,2.244941,-2.454013,-7.374635,-14.734644,3.905453,-1.130658,26.934613,-5.924335,-0.915531,-1.918673,2.952618,-25.169828,0,0,,0,0,
0.003,-1.874949,1.665876,-3.102158,-4.236556,0.3654,4.850811,28.155321,-18.589181,-5.188008,-4.360089,1.121556,-36.1562,0,0,,0,0,
0.004,-2.485303,1.971053,3.611734,8.702949,-3.174653,5.827377,25.103551,-26.066017,-5.188008,-4.115948,-0.587435,-43.358377,0,0,,0,0,
0.005,0.871644,-1.691071,11.241157,18.468613,-4.273291,1.432828,22.814724,-25.76084,0.610354,-1.186249,0.999485,-50.804695,0.380147,1.642946,,0,0,
0.006,5.296711,-5.048018,12.461865,18.956896,-2.442229,-5.036924,21.13625,-18.131415,4.272477,0.034459,4.051255,-54.100607,0.195976,1.521193,,0,0,
0.007,6.670007,-3.979898,4.527265,9.435374,1.341966,-7.966623,16.10083,-7.297631,0.305177,-5.824939,3.196759,-46.288076,-0.296419,2.084122,,0,0,
0.008,3.160472,1.818465,-5.238396,-2.771706,4.027524,-3.938287,5.8774,2.77321,-3.662123,-10.219488,0.022919,-26.634678,0,0,,0,0,
0.009,-2.027537,7.616828,-5.84875,-5.945547,3.173028,3.630103,-6.634857,11.775931,-7.629423,-11.928479,-3.517134,-1.121881,0,0,,0,0,
0.01,-6.147427,8.990124,-0.050389,-2.527564,-0.244954,8.757076,-18.078995,17.879471,-9.460484,-10.219488,-6.568904,24.390916,0,0,,0,0,
0.011,-7.062958,5.175412,6.358326,3.331834,-3.662937,8.635005,-25.70842,18.795002,0.915531,4.67315,-5.95855,46.119517,0.576085,0.524011,,0,0,
0.012,-3.553423,-0.470363,7.273857,7.726382,-3.907078,3.019749,-26.013597,15.285467,11.596723,18.345079,-3.150922,57.350031,0.53714,1.062213,,0.271708,1.581919,
0.013,3.618237,-3.369544,4.222088,8.214666,-0.977379,-5.647278,-18.841937,9.181927,10.681192,17.612654,-1.197789,54.17619,0.231492,1.945641,,0.11214,1.648941,
0.014,10.332131,-1.996248,1.170319,6.261533,2.318532,-11.628747,-9.839215,1.857679,1.220708,6.626282,-1.197789,42.213252,0,0,,0,0,
0.015,12.926136,0.902934,-1.88145,2.111126,4.393736,-12.239101,-3.583087,-5.619158,-7.324246,-4.360089,-1.686072,27.564756,0,0,,0,0,
0.016,10.48472,2.733996,-1.271096,0.646276,3.41717,-7.844552,-0.531317,-9.739047,-12.512253,-16.078886,-2.174356,10.718986,0,0,,0,0,
0.017,3.31306,2.886584,2.391027,2.599409,0.48747,-0.398234,0.689391,-10.349401,-9.765661,-19.985151,-1.075718,-7.957846,0,0,,0,0,
0.018,-5.689662,3.039173,1.170319,0.157993,-1.953945,6.437731,1.452334,-10.196813,-2.746592,-10.707771,0.389131,-24.193262,0,0,,0,0,
0.019,-11.488025,4.412469,-1.576273,-4.480697,-2.442229,9.977784,3.588573,-9.281282,2.136238,0.034459,0.633273,-36.522412,0,0,,0,0,
0.02,-11.182848,4.870235,-1.271096,-3.015848,-1.09945,9.001218,9.386936,-5.924335,3.356946,5.649716,1.121556,-46.043934,0,0,,0,0,
0.021,-5.84225,2.428819,-0.050389,3.575975,0.48747,4.606669,15.795653,-1.041503,3.356946,9.800123,2.464335,-48.851563,0,0,,0,0,
0.022,0.26129,-1.080717,3.00138,8.458807,1.341966,-0.154092,17.474126,3.078387,6.408715,15.171238,4.173326,-39.696253,0,0,,-0.651195,2.367282,
0.023,2.244941,-2.454013,5.747973,7.482241,0.853683,-1.008588,12.896471,6.130157,4.577654,12.729822,2.708476,-18.578005,-0.148519,1.301718,,0,0,
0.024,-0.501652,-0.165186,5.442796,4.3084,-0.855308,1.554899,3.588573,8.571573,-3.662123,-0.209682,-1.197789,8.1555,0.157145,0.791579,,0,0,
0.025,-4.316365,5.328,-0.050389,-1.306856,-2.076016,4.72874,-7.245211,8.266396,-9.155307,-12.416762,-5.470267,33.668296,0,0,,0,0,
0.026,-4.621542,9.905655,-7.984988,-8.631104,-1.465662,5.583235,-15.027224,4.75686,-10.376015,-15.834744,-7.911683,51.002349,0,0,,0,0,
0.027,1.176821,9.753067,-9.510873,-11.804945,0.853683,0.578333,-15.790167,1.094736,-10.070838,-15.102319,-6.935117,53.809978,0,0,,0,0,
0.028,9.264012,4.717646,-3.712512,-8.875246,3.295099,-7.47834,-11.975454,-0.431149,-5.798361,-12.416762,-2.78471,43.189818,0,0,,0,0,
0.029,12.315782,-1.691071,1.475496,-1.550998,3.53924,-11.750818,-8.160742,-1.194091,5.493184,-2.162815,2.708476,26.954402,0,0,,-0.493061,-0.393727,
0.03,8.195892,-4.895429,0.559965,2.111126,1.95232,-9.553543,-6.024503,-3.482919,11.291546,9.067698,5.516105,10.841057,0,0,,-0.488516,0.803052,
0.031,0.871644,-3.522133,-0.355566,3.331834,-0.611167,-2.229296,-5.108972,-5.313981,6.408715,11.753256,4.051255,-4.417793,0,0,,-0.632148,1.833949,
0.032,-5.689662,-1.385894,2.08585,5.529108,-3.174653,5.217023,-3.583087,-5.008804,-2.441415,7.358707,-0.465364,-18.944217,0,0,,0,0,
0.033,-8.588843,-1.538482,0.865142,3.087692,-3.418795,8.146722,0.84198,-3.635507,-5.493184,0.034459,-3.028851,-32.127863,0,0,,0,0,
0.034,-7.825901,-4.285075,-2.186627,-1.79514,-1.343591,6.071519,10.149878,-1.804445,-5.188008,-9.487063,-1.808143,-43.84666,0,0,,0,0,
0.035,-5.079308,-6.421314,-3.712512,-5.701405,1.097824,1.066616,22.662135,0.331794,-7.324246,-17.299594,1.487768,-52.269545,0,0,,0,0,
0.036,-2.637891,-4.895429,-5.543573,-9.119387,2.440603,-2.83965,30.444149,1.552502,-5.188008,-15.590603,5.516105,-49.583987,0,0,,0,0,
