Timestamp,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
0,15.481333,-5.205279,-7.650554,-11.850132,7.98304,-24.285587,10.133827,2.833757,-8.844848,-16.866251,0.81646,-9.980222,0,0,,0,0,
0.001,21.127107,-2.916452,-7.650554,-9.164575,6.640261,-27.459428,-1.005134,0.239753,0.005283,-1.48533,0.084035,1.616503,0,0,,0,0,
0.002,20.669342,0.135318,2.115108,3.530788,-0.317774,-23.431091,-11.228563,-3.269783,7.939882,14.383873,-0.892531,11.015955,0,0,,0.112411,1.811598,
0.003,17.312395,-0.01727,11.575592,14.028877,-5.566818,-16.717197,-13.822568,-6.62673,11.602005,21.219838,-1.869097,14.189795,0.48091,1.211936,,0.161101,1.82898,
0.004,13.802859,-4.289748,8.829,10.855036,-3.735756,-11.590224,-8.176793,-10.441442,10.991652,19.266705,-0.892531,11.992521,0.423123,1.229475,,0.081201,1.752849,
0.005,10.445912,-9.17258,-1.852192,-0.863761,1.8795,-8.050171,0.825928,-12.577681,6.413998,8.036192,1.548885,7.353831,0,0,,-0.241485,1.252915,
0.006,5.410492,-10.545877,-12.228207,-10.141141,5.785766,-5.120472,6.624292,-10.136265,-3.962017,-11.739277,1.915097,2.715141,0,0,,0,0,
0.007,-1.455991,-7.036341,-16.500684,-12.826699,5.541624,-0.359711,4.793229,-4.643079,-13.117325,-24.678782,0.084035,1.738574,0,0,,0,0,
0.008,-8.932828,-1.237978,-8.260907,-7.699725,1.147075,7.208679,-3.44655,0.087164,-11.59144,-17.842817,-1.624956,5.278627,0,0,,0,0,
0.009,-15.188956,3.339677,4.251346,0.112806,-2.637119,15.509493,-11.686329,2.070815,-2.130956,1.444369,-2.357381,9.306964,0,0,,0,0,
0.01,-20.376965,6.08627,11.575592,5.239779,-4.712323,22.71167,-15.195864,2.681169,9.16059,16.337006,-1.991168,11.138026,0.407091,0.452658,,0.217362,1.783401,
0.011,-23.428735,7.917332,15.848069,15.249585,-7.27581,27.228289,-12.144094,1.613049,15.569305,19.99913,-0.648389,9.062822,0.459098,0.962236,,0.041645,1.284523,
0.012,-20.987319,10.663925,39.041514,53.335673,-16.55319,26.740006,-4.667258,-0.218013,12.822713,17.069431,1.548885,3.569636,0.423989,1.366127,,-0.120792,1.331187,
0.013,-11.526832,15.699345,96.414774,123.404311,-34.253456,21.002679,2.046636,-0.52319,3.362229,6.815484,2.891664,-1.557337,0.355272,1.279932,,0,0,
0.014,1.290602,23.176182,152.872503,185.416275,-48.291597,12.701865,4.335464,0.239753,-3.65684,-4.659171,3.135805,-3.266328,0.315895,1.212882,,0,0,
0.015,13.497682,28.669368,175.760772,212.027709,-51.343367,2.936201,2.65699,0.697518,-3.351663,-5.879879,2.159239,-0.824913,0.292121,1.206343,,0,0,
0.016,22.500404,25.312421,180.338425,228.385196,-51.099226,-11.346082,-1.005134,-0.370601,-3.65684,-3.438463,-1.014602,3.935849,0.283352,1.266426,,0,0,
0.017,29.061709,10.816513,207.804347,275.748665,-61.353173,-32.708472,-2.225842,-1.286132,-5.793079,-10.274428,-4.554655,5.522769,0.295245,1.326963,,0,0,
0.018,36.538546,-8.562226,285.319284,364.372063,-87.354252,-60.05233,1.436282,-0.370601,-9.455202,-20.772516,-6.507788,1.006149,0.306163,1.277068,,0,0,
0.019,48.135272,-25.194373,396.40368,480.33932,-121.289934,-88.861038,8.913119,0.54493,-9.760379,-19.79595,-3.456018,-8.759514,0.305976,1.211743,,0,0,
0.02,64.767419,-32.976387,499.553477,601.921834,-150.098642,-111.199994,15.779602,1.155284,-3.351663,-6.856445,3.379947,-19.135532,0.300466,1.20492,,0,0,
0.021,84.909101,-25.652139,584.087482,716.1801,-169.629969,-122.430507,16.695133,1.460461,8.550236,10.72175,9.605558,-22.309373,0.290419,1.226152,,-1.123426,1.253971,
0.022,101.388659,0.593084,678.997502,838.983321,-192.090996,-120.721516,8.607942,0.850107,18.010721,21.219838,9.727628,-13.520275,0.282904,1.235621,,-0.540102,1.178178,
0.023,106.271491,41.486802,818.158175,1001.581623,-231.03158,-108.148224,-5.277612,-0.828367,12.822713,18.290139,1.548885,3.813778,0.28238,1.224191,,-0.120792,1.426386,
0.024,99.862774,85.432291,1006.147154,1215.205517,-287.062076,-92.034879,-15.348453,-1.286132,-6.708609,-0.508764,-9.071274,17.363636,0.285308,1.207781,,0,0,
0.025,88.266048,117.933641,1206.953563,1454.464279,-346.632625,-78.729162,-15.65363,1.918226,-24.714047,-26.876056,-13.099611,18.584344,0.287196,1.205071,,0,0,
0.026,78.652972,131.666607,1384.566527,1681.515961,-396.681651,-66.522082,-7.108674,6.190704,-24.103693,-36.153436,-6.019504,8.574539,0.286502,1.214471,,0,0,
0.027,71.328724,132.734726,1526.168615,1866.81943,-431.960112,-48.577675,3.419933,7.564001,-12.201794,-27.608481,3.624089,-3.51047,0.283036,1.223207,,0,0,
0.028,57.137994,134.108023,1634.201242,2002.318015,-454.909421,-16.350985,7.997588,6.495881,-5.182725,-19.79595,6.187575,-10.346435,0.278368,1.225258,,0,0,
0.029,24.484054,143.415921,1717.209363,2093.382829,-473.464183,35.773245,6.166526,2.833757,-6.708609,-19.79595,1.182673,-9.61401,0.275717,1.219061,,0,0,
0.03,-30.600395,156.843709,1767.563554,2138.060741,-489.577528,103.156325,0.67334,-4.337902,-10.981086,-13.448268,-5.653292,-1.679408,0.276979,1.209609,,0,0,
0.031,-98.044512,163.710192,1778.244746,2136.840033,-499.221121,172.248396,-2.683607,-11.509562,-7.62414,1.200227,-7.118142,5.278627,0.280738,1.201657,,0,0,
0.032,-161.826506,155.317824,1765.122138,2114.867289,-500.441829,229.987883,0.215574,-13.035447,4.888113,18.045997,-1.136673,2.959282,0.283517,1.198142,,0,0,
0.033,-210.654827,132.276961,1754.440946,2111.205165,-499.221121,268.562255,5.861349,-8.305203,18.010721,30.253077,6.92,-5.341532,0.284547,1.203349,,-0.384216,1.679726,
0.034,-241.782881,108.473154,1754.135769,2121.459112,-498.854908,289.802573,8.455354,-2.049075,19.536605,26.346812,9.117274,-10.346435,0.284388,1.209404,,-0.466676,1.348587,
0.035,-256.736554,100.843729,1753.830592,2115.599714,-496.291422,300.05652,6.624292,3.5967,8.245059,9.745183,4.722726,-9.003656,0.282976,1.206274,,-0.572795,1.181942,
0.036,-258.567616,116.865522,1746.20117,2092.162121,-491.652731,303.718644,2.046636,8.63212,-6.098256,-6.612304,-1.747027,-3.632541,0.281556,1.198122,,0,0,
0.037,-248.649363,149.519461,1730.026793,2064.574121,-487.624395,299.934449,-3.751727,11.836479,-7.013786,-8.565436,-3.944301,3.325495,0.281859,1.193377,,0,0,
0.038,-223.930026,187.666587,1724.838786,2050.65805,-487.746466,282.722467,-9.092324,11.531302,6.719175,1.688511,-1.014602,10.28353,0.282778,1.188898,,0.151001,0.251297,
0.039,-182.425954,222.91453,1749.558116,2060.911997,-492.629298,246.833653,-11.381152,8.784709,13.738244,6.083059,1.670956,12.969088,0.281574,1.177961,,-0.121628,0.442783,
0.04,-129.630332,253.127054,1787.094876,2093.871112,-496.413492,196.784626,-9.55009,4.512231,3.972583,-1.973613,0.084035,9.429034,0.277777,1.171662,,0,0,
0.041,-75.156237,281.05075,1821.885044,2141.234581,-498.488696,147.223883,-4.209492,-2.812017,-10.675909,-8.565436,-3.089805,4.057919,0.273611,1.175285,,0,0,
0.042,-30.295218,317.061636,1832.566236,2163.93975,-495.803138,116.339971,3.114756,-12.882858,-15.253563,-5.391596,-3.211876,0.395795,0.270551,1.180825,,0,0,
0.043,-5.57588,364.211483,1799.301953,2130.980634,-482.741563,115.607546,8.913119,-19.901929,-4.877548,6.327201,-0.282177,-2.778045,0.268294,1.184337,,0,0,
0.044,-7.559531,409.530268,1732.163032,2054.320174,-461.501244,145.026608,9.676062,-19.444164,12.212359,21.952263,2.891664,-4.853249,0.266431,1.185985,,-0.236782,1.797545,
0.045,-37.619466,434.402194,1666.855172,1975.462439,-442.580271,194.831493,4.640641,-13.035447,18.926251,28.299944,3.135805,-3.632541,0.265518,1.185143,,-0.165685,1.495275,
0.046,-94.534977,432.72372,1633.896065,1930.296245,-438.185722,255.866892,-1.768076,-3.269783,11.602005,15.36044,0.81646,-1.801479,0.268185,1.181407,,-0.070372,1.323947,
0.047,-170.676639,414.107923,1621.078635,1895.87228,-443.434767,322.151334,-5.4302,7.411412,0.615637,-3.682604,-1.380814,-2.900116,0.273543,1.169513,,0,0,
0.048,-250.480426,386.794581,1595.138597,1848.264669,-445.387899,384.895724,-5.125023,14.430484,-0.910248,-8.077153,0.206106,-4.97532,0.279216,1.158686,,0,0,
0.049,-316.398658,353.530288,1540.206753,1786.008563,-434.401528,434.090255,-4.056904,15.346015,6.719175,4.129927,3.013735,-2.900116,0.282041,1.15959,,-0.448527,0.614648,
0.05,-360.03897,310.958096,1475.814424,1721.799324,-415.724696,464.852096,-4.667258,12.75201,11.602005,14.872157,3.135805,2.59307,0.281692,1.166677,,-0.270281,1.281861,
0.051,-381.859125,261.67201,1430.953418,1672.971005,-402.907262,476.570892,-6.650908,9.547652,7.939882,16.825289,0.694389,8.574539,0.281566,1.16913,,-0.087456,2.119085,
0.052,-382.011714,216.505813,1425.76541,1659.054934,-405.836961,471.077707,-10.007855,4.969996,-2.130956,13.651449,-3.089805,14.311866,0.284645,1.163624,,0,0,
0.053,-357.750142,190.565768,1466.964294,1696.408598,-424.147581,448.860822,-11.228563,-1.286132,-8.539671,9.501042,-5.775363,16.997424,0.289133,1.156408,,0,0,
0.054,-305.412286,193.312361,1524.032376,1759.152987,-444.167191,406.990538,-6.956085,-7.237084,1.22599,8.524475,-2.723593,12.847017,0.291442,1.154275,,0,0,
0.055,-227.59215,222.151588,1567.062321,1805.53989,-451.491439,344.612361,3.267344,-10.899208,14.348598,8.280334,3.379947,1.738574,0.288113,1.152181,,-0.235559,0.577083,
0.056,-138.0227,262.740129,1589.95059,1822.141519,-445.021687,267.82983,15.321836,-11.509562,10.381298,1.688511,5.088938,-11.323001,0.279897,1.146037,,-0.490202,0.162649,
0.057,-57.761148,302.260551,1607.040497,1838.499005,-437.697439,189.460378,22.493496,-7.542261,-10.065555,-16.133826,0.450248,-20.844523,0.272362,1.144028,,0,0,
0.058,-2.218933,340.865442,1640.304781,1885.374191,-444.167191,122.687653,22.340907,-0.065424,-31.427939,-35.421012,-6.141575,-24.628718,0.270783,1.149405,,0,0,
0.059,25.857351,384.658342,1699.203925,1959.837377,-467.970997,76.178679,16.542544,6.495881,-36.005593,-37.374144,-7.728496,-23.774222,0.275406,1.153386,,0,0,
0.06,34.707484,433.486663,1769.699792,2039.427537,-496.779705,50.543812,7.539823,8.479532,-20.746747,-20.284233,-4.188442,-18.036895,0.280714,1.152414,,0,0,
